VNINDEX,1271537.01
VN30,300899.26
HPG,2462.66
VHM,1417.6
SSI,1024.16
HSG,955.18
APH,858.38
TCB,630.5
VND,614.46
KBC,549.97
SHB,504.83
GEX,501.67
MBB,490.44
STB,448.02
DIG,434.79
VCI,376.27
IJC,370.6
CTG,370.26
NKG,362.95
IDC,356.37
FPT,296.52
PVS,284.67
VNM,283.64
VPB,282.86
VGT,281.25
NVL,279.88
GVR,266.78
HCM,263.86
PVT,263.59
DPM,254.44
FLC,251.43
PDR,250.98
SHS,238.96
ACB,236.63
NLG,232.88
PVD,226.45
SBT,222.53
GMD,216.03
TCH,213.62
HBC,212.45
SCR,202.24
KDH,199.97
CII,199.38
MSN,199.13
DXG,199.04
VHC,194.62
DBC,189.06
HAH,187.96
BCG,185.89
VIC,183.24
LCG,180.62
BSR,179.5
POW,179.23
FIT,178.93
TPB,168.7
LPB,161.03
AAA,158.24
ASM,144.76
KDC,136.87
ITA,136.54
FCN,135.38
CEO,134.62
HDG,132.4
MBS,129.77
VJC,126.24
MWG,124.51
KSB,120.17
TLH,119.11
DCM,105.86
PC1,103.69
AGR,100.39
HT1,99.26
CRE,97.12
ROS,96.69
PHR,96.55
DGC,95.98
SMC,95.89
NTL,95.66
ORS,93.38
TNG,90.76
VCB,90.5
TVN,86.58
SBS,86.12
APS,85.95
PAS,85.82
NDN,85.67
TTF,85.52
DRC,83.46
VRE,80.64
TVB,80.58
GAS,78.48
HDB,76.7
REE,76.66
PET,76.5
HUT,73.65
SZC,73.55
CKG,72.5
QTP,71.28
AMV,70.96
PLX,70.28
VCS,69.67
ANV,68.52
BSI,68.33
FRT,67.33
HDC,66.82
BFC,66.26
CTR,66.05
PTB,63.04
DGW,62.77
PNJ,62.56
TDH,61.9
BCC,58.81
HQC,58.32
LDG,56.94
TDM,56.74
QNS,56.46
TVC,56.14
CTS,55.56
DPG,54.07
GIL,53.46
BID,53.36
NVB,51.49
ART,50.32
VDS,49.75
MSR,47.77
BVH,47.66
C4G,47.37
FTS,46.54
OIL,45.16
KLF,44.87
FMC,44.47
VPI,42.84
TCM,41.36
BVS,41.09
IDJ,40.87
CTI,40.8
VGS,40.08
DLG,39.91
GTN,39.89
IDI,38.42
CSV,37.65
DHC,37.52
VIB,37.25
HAX,37.19
TV2,37.18
PLC,36.75
AGG,36.01
LAS,35.73
HNG,35.66
NT2,35.63
LTG,34.7
CTD,34.07
SHI,33.99
TDC,32.97
NAF,32.91
DVN,32.7
DRH,32.48
APG,32.47
AAS,31.91
VNA,30.64
VGI,30.27
G36,30.18
BWE,28.62
TCL,28.39
LHG,28.32
PVP,27.35
VPG,27.07
TSC,26.41
D2D,26.25
S99,25.94
SGP,25.64
JVC,23.86
GEG,23.34
VCG,22.51
CCL,22.39
PHC,22.16
TIG,21.74
DCL,21.0
MHC,20.71
HAG,20.3
PLP,20.12
NHH,19.25
VTP,18.94
DRI,18.87
LSS,18.56
DXP,18.24
SAB,17.28
HAI,16.41
HTN,16.39
BII,16.11
BMI,15.49
